Company Name,Industry,Symbol,Series,ISIN Code
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
CESC Ltd.,Power,CESC,EQ,INE486A01021
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
